"","NAME_0","NAME_1","codes","temp_mean","agri_gc_mean","barren_gc_mean","ttime_mean_mean","urban_gc_mean","cmr_mean_mean","imr_mean_mean","Battles","Riots","Protests","Armed.clash","Violence.against.civilians","Abduction.forced.disappearance","Attack","Sexual.violence","Mob.violence","Violent.demonstration","Excessive.force.against.protesters","Peaceful.protest","Protest.with.intervention","fatalities","area_km_2","road_length_km","road_density","Homicide_mean","Population_mean","Rate_mean","Homicide_obs","Rate_obs","Population_obs","capital_name","country_capital","capital_coordinates","distance_capital"
"244","Mexico","Durango","MEX_unsalb",17.2415682746468,11.4720863573529,0.00154320998529412,305.689192794118,0.0187454610294118,7.5,317.470729411765,1,0,15,1,2,1,1,0,0,0,0,13,2,1,123364.1333151,9264.073383262,0.0750953549813337,208,1818488.8,11.4380687964644,5,5,5,"Victoria de Durango",0,"c(-104.661115, 24.022381)",762.456434015467
"245","Mexico","México","MEX_unsalb",16.1580774362531,13.9254384736842,0.00194931784210526,133.446969473684,0.976283384736842,7.5,288.182378947368,6,17,56,6,33,1,32,0,14,3,0,53,3,50,22351.4732768463,2332.10461723582,0.104337847816574,2485.2,16855086,14.744510944649,5,5,5,"Toluca",0,"c(-99.6333330555556, 19.2988888888889)",54.2893494742053
"246","Mexico","Tamaulipas","MEX_unsalb",22.9003956113004,16.695956355102,0.00485008832653061,180.885203469388,0.169690117755102,7.5,273.248753061224,22,1,24,22,12,2,10,0,1,0,0,24,0,56,80247.8635492242,6636.3845778047,0.0826985826698542,923.4,3558497.4,25.9491548314747,5,5,5,"Ciudad Victoria",0,"c(-99.1422222222222, 23.7400008333333)",474.488633383791
"247","Mexico","Sinaloa","MEX_unsalb",24.0771712052167,16.1888017338095,0.0326040159047619,304.456159285714,0.0335889347619048,7.5,317.2179,5,0,24,5,42,4,38,0,0,0,0,24,0,83,57370.1578594099,5382.67774721059,0.0938236523664665,1107.4,3075645,36.0054557661889,5,5,5,"Culiacan",0,"c(-107.3908325, 24.8094436111111)",1036.62168175075
"248","Mexico","Baja California Sur","MEX_unsalb",21.8385432559914,4.21609292246,0.10309801828,522.320314,0.00697530876,7.5,233.438044897959,1,0,6,1,4,0,3,1,0,0,0,6,0,3,74601.1728532538,3098.72637801547,0.0415372340607955,300.6,754104.8,39.8618335276476,5,5,5,"La Paz",0,"c(-110.298610833333, 24.1494438888889)",1264.56828799888
"249","Mexico","Guanajuato","MEX_unsalb",18.1125007682634,14.6975304347826,0.000268384347826087,130.80100173913,0.176596899130435,7.5,289.233082608696,20,5,17,20,129,0,129,0,4,1,0,17,0,233,30606.6730295911,3263.35923184817,0.106622475062647,2061.2,6055519.4,34.0383683685333,5,5,5,"Guanajuato",0,"c(-101.256902, 21.018274)",280.590083316752
"250","Mexico","Veracruz de Ignacio de la Llave","MEX_unsalb",23.5659618957579,28.1644262693878,0.00270849181632653,177.928592244898,0.05955021,7.5,309.483485714286,14,2,40,14,42,4,36,2,1,1,0,40,0,48,71820.9136594283,7065.56240473941,0.0983775065608884,1443.6,8371485.6,17.2442511279002,5,5,5,"Jalapa",0,"c(-96.9277780555555, 19.5227783333333)",232.71098756122
"251","Mexico","Nuevo León","MEX_unsalb",20.844239138663,16.369919,0.00218307756097561,197.225450731707,0.114950320731707,7.5,272.279409756098,8,1,22,8,61,3,58,0,1,0,0,22,0,52,64156.3201266051,5069.54623198506,0.079018656649585,667.8,5372573.8,12.4297966832954,5,5,5,"Monterrey",0,"c(-100.300556666667, 25.6888888888889)",700.532509463714
"252","Mexico","Sonora","MEX_unsalb",22.1292951062885,12.6740815308105,0.0211802754526316,245.321342736842,0.0203387858842105,7.5,240.692839010989,6,1,6,6,30,2,28,0,1,0,0,5,1,44,180613.979982111,16383.2560994862,0.0907086821358396,831.8,2961421.8,28.0878596895586,5,5,5,"Hermosillo",0,"c(-110.949443888889, 29.0869441666667)",1602.8114162396
"253","Mexico","Jalisco","MEX_unsalb",20.3087683620663,14.0714374908333,0.00019290125,214.830866666667,0.163194445833333,7.5,288.674385416667,10,2,27,10,56,0,56,0,2,0,0,27,0,109,78596.7713622019,6846.64894038067,0.0871110711256685,1792.2,8146646,21.9992374776074,5,5,5,"Guadalajara",0,"c(-103.34022, 20.672664)",459.231727602446
"254","Mexico","Yucatán","MEX_unsalb",26.3816584132292,4.5974580625,0.00501543245833333,276.462808333333,0.0496399175,7.5,314.142095833333,1,1,14,1,1,0,1,0,1,0,0,14,0,1,39766.8761533308,4124.80345339323,0.103724603297706,44.2,2181808.4,2.02584241586016,5,5,5,"Mérida",0,"c(-89.618501, 20.980051)",1009.41678211792
"255","Mexico","Oaxaca","MEX_unsalb",21.195041531096,15.1483297632,0.0032716052,269.1969836,0.0042713294,7.5,336.213226,2,6,36,2,17,0,17,0,2,4,0,36,0,31,93756.0532975979,6998.77116761109,0.0746487391634947,880.4,4071157,21.6253020947116,5,5,5,"Oaxaca",0,"c(-96.7308341666667, 17.0574997222222)",368.071174688545
"256","Nicaragua","Atlántico Norte","NIC",25.2160856926851,21.3545065619048,0.00220458571428571,617.8489,0,16.34579,427.46780952381,1,1,1,1,1,0,1,0,0,1,1,0,0,4,32015.3580619521,3629.96073237945,0.113381856462614,58.8888888888889,461068.333333333,12.7722692346157,9,6,6,"Puerto Cabezas",0,"c(-83.3744444444444, 14.0441669444444)",377.661907641252
"257","Nicaragua","Atlántico Sur","NIC",25.1871641732012,34.5721408666667,0.00634430772222222,467.898427777778,0,11.1790041111111,455.795755555556,0,0,1,0,2,0,2,0,0,0,1,0,0,6,25960.8747492793,3172.63113289754,0.122208175322968,92.6666666666667,374888.5,24.7184607334359,9,6,6,"Bluefields",0,"c(-83.763452, 12.012407)",273.652492401755
"258","Nicaragua","Boaco","NIC",25.0680269087165,70.836418,0,197.48544,0,12.101384,356.75424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4178.550377642,1359.37728201046,0.325322697862882,5.33333333333333,174467.166666667,3.05692666146352,9,6,6,"Boaco",0,"c(-85.658791, 12.471484)",75.605881743112
"259","Nicaragua","Carazo","NIC",26.5636687494229,70.54939,0,91.36129,0.1975309,8.67619,360.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055.22019064833,581.345556411414,0.550923458026548,5.88888888888889,184403.5,3.19347999842134,9,6,6,"Jinotepe",0,"c(-86.1863886111111, 11.8516680555556)",34.5025763208696
"260","Nicaragua","Chinandega","NIC",28.2548179274175,48.771221,0.001543209875,112.91586125,0.0208333375,16.4360775,346.967775,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4777.32101403469,1455.01360359457,0.304566848097514,16.4444444444444,423116.166666667,3.8865081837914,9,6,6,"Chinandega",0,"c(-87.1341669444444, 12.6297219444444)",107.541755446713
"261","Nicaragua","Chontales","NIC",25.3630156372778,60.75501625,0,214.64232875,0.01080246875,10.949124125,380.5073625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6278.02398230875,1984.83449787414,0.316155927958755,11.3333333333333,187598,6.04128686517625,9,6,6,"Juigalpa",0,"c(-85.3611108333333, 12.1041666666667)",99.4050549783855
"262","Nicaragua","Estelí","NIC",23.7353959935514,76.0679,0,116.732133333333,0,14.7777766666667,315.136566666667,0,0,1,0,1,0,1,0,0,0,1,0,0,2,2351.63592679234,773.795521885592,0.32904562864927,8.66666666666667,223505.333333333,3.87761067595702,9,6,6,"Esteli",0,"c(-86.3561108333333, 13.0883330555556)",104.013023940937
"263","Nicaragua","Granada","NIC",26.7765728343988,51.0964525,0,87.5836575,0.1257716125,10.1997845,273.349275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.14128163359,442.194875665516,0.435170663428441,6.88888888888889,201816.666666667,3.41343903983263,9,6,6,"Granada",0,"c(-85.957611, 11.931662)",42.0958612280112
"264","Nicaragua","Jinotega","NIC",22.957407690373,45.5004413571429,0,527.71585,0,17.0965764285714,381.48065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9861.23250393043,989.647939282465,0.10035742883945,49.1111111111111,427422.833333333,11.4900532402795,9,6,6,"Jinotega",0,"c(-85.9969438888889, 13.0852783333333)",107.551280292814
